Nome,Início,Fim
Olimpíada de Língua Portuguesa - Escrevendo o futuro,20/01/2025,08/05/2025
Olimpíada Brasileira de Linguística - OBL,01/05/2025,30/05/2025
Olimpíada de Literatura,06/02/2025,28/04/2025
Olimpíada Brasileira de Cartografia - OBRAC,01/03/2025,30/04/2025
Olimpíada de Ciências Humanas do Estado do Ceará - OCHE,01/06/2025,30/09/2025
Olimpíada Nacional em História do Brasil Aberta para Todos - ONHBA,03/02/2025,25/04/2025
Olimpíada Brasileira de Geografia - OBG,01/04/2025,30/07/2025
OLIMPÍADA BRASILEIRA DE INVESTIMENTOS — OBINVEST,01/07/2025,30/09/2025
Olimpíada Brasileira de Restauração de Ecossistemas,01/01/2025,05/05/2025
Olimpíada de Química das Escolas Públicas - OQEP,01/09/2025,30/10/2025
Olimpíada Cearense de Química (OCQ),01/04/2025,30/08/2025
Olimpíada Brasileira de Saúde e Meio Ambiente - OBSMA,01/08/2025,30/06/2025
Olimpíada Nacional de Ciências - ONC ,01/04/2025,30/08/2025
Olimpíada Brasileira de Física das Escolas Públicas (OBFEP),01/03/2025,30/06/2025
Olimpíada Brasileira de Astronomia e Astronáutica - OBA,01/01/2025,01/05/2025
 Mostra Brasileira de Foguetes - MOBFOG,01/01/2025,01/05/2025
Olimpíada Brasileira de Biologia - OBB,27/01/2025,27/02/2025
Olímpiada Brasileira de Robótica ,01/03/2025,01/05/2025
Olímpiada Nacional de Aplicativos,01/03/2025,30/06/2025
Olímpiada Brasileira de Informática,01/04/2025,30/09/2025
Maratona Cearense de Matemática - Mcem,01/06/2025,30/07/2025
Olimpíada de Matemática do IFCE - OMIFCE,01/08/2025,30/09/2025
Olimpíada Mandacaru de Matemática,01/02/2025,10/05/2025
Olimpíada Brasileira de Tecnologia,01/03/2025,30/04/2025
Olimpíada Brasileira de Matemática das Escolas Públicas - OBMEP,05/02/2025,17/03/2025
Olimpíada Internacional Matemática Sem Fronteiras (OIMSF),01/02/2025,17/05/2025
Olimpíada Brasileira de Raciocínio Lógico - OBRL,01/05/2025,30/08/2025
Olimpíada Canguru de Matemática,07/11/2025,14/03/2025
Olimpíada Brasileira de Matemática Financeira - OBMF,08/01/2025,21/05/2025
